0	68	1	67	1
1	64	2	65	-1
2	62	3	61	1
3	107	4	106	1
4	21	5	22	-1
22	5	23	6	-1
6	59	7	60	-1
7	57	8	56	1
8	113	9	114	-1
114	9	115	10	-1
10	115	11	116	-1
100	12	101	11	1
12	102	13	101	1
102	14	103	13	1
14	51	15	52	-1
15	69	16	68	1
16	71	17	72	-1
17	75	18	74	1
107	18	108	19	-1
19	108	20	109	-1
109	20	110	21	-1
23	110	24	111	-1
24	75	25	76	-1
25	97	26	96	1
33	27	34	26	1
27	83	28	82	1
28	36	29	35	1
29	46	30	47	-1
47	30	48	31	-1
31	48	32	49	-1
32	93	33	94	-1
81	34	82	35	-1
36	83	37	84	-1
92	37	93	38	-1
38	85	39	86	-1
39	89	40	88	1
89	41	90	40	1
41	91	42	90	1
87	43	88	42	1
43	87	44	86	1
91	45	92	44	1
84	45	85	46	-1
49	94	50	95	-1
99	51	100	50	1
52	0	53	117	1
53	67	54	66	1
65	55	66	54	1
104	55	105	56	-1
78	58	79	57	1
58	78	59	77	1
105	61	106	60	1
73	63	74	62	1
63	73	64	72	1
98	69	99	70	-1
70	97	71	98	-1
111	76	112	77	-1
112	80	113	79	1
95	80	96	81	-1
103	117	104	116	1
