0	46	1	45	1
1	92	2	93	-1
2	21	3	22	-1
3	54	4	55	-1
4	32	5	31	1
30	6	31	5	1
6	30	7	29	1
7	36	8	37	-1
8	52	9	51	1
9	91	10	90	1
13	10	14	11	-1
11	101	12	100	1
99	13	100	12	1
14	91	15	92	-1
15	52	16	53	-1
16	36	17	35	1
32	18	33	17	1
18	34	19	33	1
34	20	35	19	1
20	54	21	53	1
22	71	23	72	-1
23	75	24	74	1
24	83	25	84	-1
40	25	41	26	-1
26	41	27	42	-1
27	60	28	61	-1
28	68	29	67	1
37	66	38	67	-1
38	62	39	61	1
42	39	43	40	-1
43	87	44	86	1
97	44	98	45	-1
46	0	47	101	1
98	48	99	47	1
87	49	88	48	1
49	62	50	63	-1
50	66	51	65	1
68	56	69	55	1
56	77	57	78	-1
80	57	81	58	-1
58	81	59	82	-1
76	59	77	60	-1
63	89	64	88	1
89	65	90	64	1
69	78	70	79	-1
79	70	80	71	-1
72	94	73	93	1
94	74	95	73	1
75	82	76	83	-1
95	84	96	85	-1
85	96	86	97	-1
