1	236	2	237	-1
2	108	3	107	1
3	54	4	55	-1
4	205	5	206	-1
7	203	8	202	1
8	60	9	59	1
9	72	10	73	-1
11	157	12	156	1
12	163	13	164	-1
15	45	16	44	1
16	35	17	36	-1
20	81	21	82	-1
23	87	24	86	1
27	113	28	112	1
30	63	31	64	-1
33	69	34	68	1
34	39	35	40	-1
37	131	38	130	1
38	17	39	18	-1
41	15	42	14	1
42	133	43	134	-1
45	41	46	40	1
46	67	47	68	-1
49	65	50	64	1
52	111	53	112	-1
57	97	58	96	1
61	49	62	48	1
62	31	63	32	-1
65	61	66	60	1
66	71	67	72	-1
69	33	70	32	1
70	47	71	48	-1
74	95	75	96	-1
79	127	80	126	1
80	21	81	22	-1
83	79	84	78	1
84	89	85	90	-1
87	23	88	22	1
88	125	89	126	-1
92	104	93	103	1
94	75	95	76	-1
97	57	98	56	1
99	104	100	105	-1
101	98	102	99	-1
102	94	103	93	1
105	100	106	101	-1
108	120	109	119	1
110	53	111	54	-1
113	27	114	26	1
115	120	116	121	-1
117	114	118	115	-1
118	110	119	109	1
121	116	122	117	-1
124	85	125	86	-1
127	83	128	82	1
131	37	132	36	1
132	43	133	44	-1
135	165	136	164	1
136	155	137	156	-1
138	74	139	73	1
139	58	140	59	-1
140	201	141	202	-1
143	207	144	206	1
144	56	145	55	1
145	106	146	107	-1
147	233	148	232	1
148	92	149	91	1
149	76	150	77	-1
150	183	151	184	-1
153	189	154	188	1
154	159	155	160	-1
157	11	158	10	1
158	137	159	138	-1
161	135	162	134	1
162	13	163	14	-1
165	161	166	160	1
166	187	167	188	-1
169	185	170	184	1
170	78	171	77	1
171	90	172	91	-1
172	231	173	232	-1
174	124	175	123	1
175	24	176	25	-1
177	217	178	216	1
178	20	179	19	1
179	128	180	129	-1
181	169	182	168	1
182	151	183	152	-1
185	181	186	180	1
186	191	187	192	-1
189	153	190	152	1
190	167	191	168	-1
192	130	193	129	1
193	18	194	19	-1
194	215	195	216	-1
196	30	197	29	1
197	50	198	51	-1
199	7	200	6	1
200	141	201	142	-1
203	199	204	198	1
204	209	205	210	-1
207	143	208	142	1
208	5	209	6	-1
210	52	211	51	1
211	28	212	29	-1
212	224	213	223	1
214	195	215	196	-1
217	177	218	176	1
219	224	220	225	-1
221	218	222	219	-1
222	214	223	213	1
225	220	226	221	-1
226	26	227	25	1
227	122	228	123	-1
228	0	229	239	1
230	173	231	174	-1
233	147	234	146	1
235	0	236	1	-1
237	234	238	235	-1
238	230	239	229	1
