0	48	1	47	1
1	84	2	85	-1
2	186	3	185	1
3	224	4	225	-1
5	104	6	105	-1
6	166	7	165	1
8	220	9	219	1
9	190	10	191	-1
10	80	11	79	1
11	52	12	53	-1
13	170	14	171	-1
14	100	15	99	1
16	64	17	63	1
17	68	18	69	-1
18	202	19	201	1
19	208	20	209	-1
21	88	22	89	-1
22	182	23	181	1
24	268	25	267	1
25	142	26	143	-1
26	128	27	127	1
27	4	28	5	-1
29	186	30	187	-1
30	84	31	83	1
32	16	33	15	1
33	116	34	117	-1
34	154	35	153	1
35	256	36	257	-1
37	72	38	73	-1
38	198	39	197	1
40	252	41	251	1
41	158	42	159	-1
42	112	43	111	1
43	20	44	21	-1
45	138	46	139	-1
46	132	47	131	1
48	32	49	31	1
49	100	50	101	-1
50	170	51	169	1
51	240	52	241	-1
53	120	54	121	-1
54	150	55	149	1
56	236	57	235	1
57	174	58	175	-1
58	96	59	95	1
59	36	60	37	-1
61	154	62	155	-1
62	116	63	115	1
64	0	65	275	1
66	136	67	135	1
69	114	70	115	-1
70	156	71	155	1
77	148	78	149	-1
78	122	79	121	1
85	130	86	131	-1
86	140	87	139	1
93	196	94	197	-1
94	74	95	73	1
101	82	102	83	-1
102	188	103	187	1
109	180	110	181	-1
110	90	111	89	1
117	98	118	99	-1
118	172	119	171	1
125	164	126	165	-1
126	106	127	105	1
133	204	134	205	-1
134	66	135	65	1
143	106	144	107	-1
144	164	145	163	1
151	172	152	173	-1
152	98	153	97	1
159	90	160	91	-1
160	180	161	179	1
167	188	168	189	-1
168	82	169	81	1
175	74	176	75	-1
176	196	177	195	1
183	140	184	141	-1
184	130	185	129	1
191	122	192	123	-1
192	148	193	147	1
199	156	200	157	-1
200	114	201	113	1
203	136	204	137	-1
205	132	206	133	-1
206	138	207	137	1
207	272	208	273	-1
209	112	210	113	-1
210	158	211	157	1
212	40	213	39	1
213	92	214	93	-1
214	178	215	177	1
215	232	216	233	-1
217	146	218	147	-1
218	124	219	123	1
220	244	221	243	1
221	166	222	167	-1
222	104	223	103	1
223	28	224	29	-1
225	128	226	129	-1
226	142	227	141	1
228	24	229	23	1
229	108	230	109	-1
230	162	231	161	1
231	248	232	249	-1
233	194	234	195	-1
234	76	235	75	1
236	260	237	259	1
237	150	238	151	-1
238	120	239	119	1
239	12	240	13	-1
241	80	242	81	-1
242	190	243	189	1
244	8	245	7	1
245	124	246	125	-1
246	146	247	145	1
247	264	248	265	-1
249	178	250	179	-1
250	92	251	91	1
252	212	253	211	1
253	198	254	199	-1
254	72	255	71	1
255	60	256	61	-1
257	96	258	97	-1
258	174	259	173	1
260	56	261	55	1
261	76	262	77	-1
262	194	263	193	1
263	216	264	217	-1
265	162	266	163	-1
266	108	267	107	1
268	228	269	227	1
269	182	270	183	-1
270	88	271	87	1
271	44	272	45	-1
273	202	274	203	-1
274	68	275	67	1
